PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
1002530019,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,420800,420800,420800
1002530020,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,316500,316500,316500
1002530021,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,339700,339700,339700
1002530022,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,387700,214700,387700
1002530023,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,324800,324800,324800
1002530024,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,331200,331200,331200
1002530025,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,219300,219300,392300
1002530026,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,346800,346800,346800
1002540001,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,282100,282100,282100
1002540002,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,303300,303300,303300
1002540003,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,280700,280700,280700
1002540004,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,307100,307100,307100
1002540005,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,311800,311800,311800
1002540006,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,261100,261100,261100
1002540007,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,301300,301300,301300
1002540008,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,285400,285400,285400
1002540009,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,282900,282900,282900
1002540010,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,348100,348100,348100
1002800036,TRS4,COLONIAL SCHOOL DIST-TRES,10,F,379200,379200,1164600
1002800039,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,683900,683900,683900
1002800055,TRS4,COLONIAL SCHOOL DIST-TRES,10,F,175500,175500,466500
1002840012,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,358800,358800,358800
1002840013,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,421200,248200,421200
1002840015,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,407100,407100,407100
1002840016,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,380800,380800,380800
1002840017,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,428500,0,428500
1002840019,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,395300,395300,395300
1002840133,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,92200,92200,92200
1002900001,TRS4,COLONIAL SCHOOL DIST-TRES,10,A,18938300,18938300,18938300
1002900002,TRS4,COLONIAL SCHOOL DIST-TRES,10,ER,0,0,193500
1002900003,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,587500,587500,587500
1002900006,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,297700,297700,297700
1002900006M0001,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,43700,43700,43700
1002900006M0007,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,51900,51900,51900
1002900006M0008,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,51100,51100,51100
1002900006M0009,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,44900,44900,44900
1002900006M0012,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,0,0,39300
1002900006M0014,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,0,0,65400
1002900006M0018,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,52000,52000,52000
1002900006M0030,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,179100,179100,179100
1002900006M0031,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,38000,38000,38000
1002900006M0032,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,51700,51700,51700
1002900006M0038,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,49900,49900,49900
1002900006M9999,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,5300,5300,5300
1002900006MA002,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,45600,45600,45600
1002900006MA010,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,49100,49100,49100
1002900006MA013,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,55000,55000,55000
1002900006MA016,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,48900,48900,48900
1002900006MA017,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,56200,56200,56200
1002900006MA023,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,43900,43900,43900
1002900006MA027,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,42700,42700,42700
1002900006MA029,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,42300,42300,42300
1002900006MA033,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,42100,42100,42100
1002900006MA035,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,39400,39400,39400
1002900006MA036,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,53300,53300,53300
1002900006MA037,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,54200,54200,54200
1002900006MB003,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,0,0,54900
1002900006MB020,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,46200,46200,46200
1002900006MC004,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,58800,58800,58800
1002900006MC019,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,46500,46500,46500
1002900006MD006,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,0,0,39200
1002900007,TRS4,COLONIAL SCHOOL DIST-TRES,10,ER,0,0,50400
1002900008,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,129000,129000,129000
1002910001,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,768800,768800,768800
1002910002,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,601600,601600,601600
1002910003,TRS4,COLONIAL SCHOOL DIST-TRES,10,A,32122900,32122900,32122900
1002910004,TRS4,COLONIAL SCHOOL DIST-TRES,10,EC,0,0,2068000
1002910022,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,449800,449800,449800
1002910023,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,188000,188000,361000
1002910024,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,375100,375100,375100
1002910025,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,159400,159400,332400
1002910026,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,244900,244900,417900
1002910027,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,390200,217200,390200
1002910028,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,379700,379700,379700
1002910029,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,368200,368200,368200
1002910030,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,347600,347600,347600
1002910031,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,538100,0,538100
1002910032,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,317500,317500,317500
1002910098,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,367300,367300,367300
1002910099,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,220400,220400,393400
1002910100,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,512200,512200,512200
1002910101,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,276000,103000,276000
1002910102,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,347400,347400,347400
1002910103,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,489100,489100,489100
1002910104,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,365800,365800,365800
1002910105,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,6399800,6399800,6399800
1002910106,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,471000,471000,471000
1002910107,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,10192000,10192000,10192000
1002910108,TRS4,COLONIAL SCHOOL DIST-TRES,10,C,434600,434600,434600
1002910109,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,404600,404600,404600
