PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0802240003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,577100,577100,577100
0802240004,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,625400,625400,625400
0802240005,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,502200,502200,502200
0802240006,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,511900,511900,511900
0802240007,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,507200,507200,507200
0802240008,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,557600,557600,557600
0802240009,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,597200,597200,597200
0802240010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,645000,645000,645000
0802240011,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,557300,557300,557300
0802240012,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,503600,503600,503600
0802240013,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,693700,693700,693700
0802240014,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,618600,618600,618600
0802240015,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,555100,555100,555100
0802240016,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,522200,522200,522200
0802240017,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,675300,675300,675300
0802240018,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,542200,542200,542200
0802240019,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,605100,605100,605100
0802240020,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,573300,573300,573300
0802240021,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,699400,699400,699400
0802240022,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,514000,514000,514000
0802240023,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,710300,710300,710300
0802240024,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,579700,579700,579700
0802240025,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,597200,597200,597200
0802240026,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,137200,137200,137200
0802240027,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,609100,609100,609100
0802240028,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,599800,599800,599800
0802240029,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,576500,576500,576500
0802240030,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,580200,580200,580200
0802240031,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,612700,612700,612700
0802240032,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,491200,491200,491200
0802240033,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,665400,665400,665400
0802240034,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,571500,571500,571500
0802240035,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,545200,545200,545200
0802240036,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,531200,531200,531200
0802240037,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,496300,496300,496300
0802240038,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,500800,500800,500800
0802240039,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,515200,515200,515200
0802240040,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,516400,516400,516400
0802240041,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,533900,533900,533900
0802240042,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,529800,529800,529800
0802240043,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,566100,566100,566100
0802240044,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,518700,518700,518700
0802240045,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,538500,538500,538500
0802240046,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,502000,502000,502000
0802240047,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,100,100,100
0802240048,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,607100,607100,607100
0802240049,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,589700,589700,589700
0802240050,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,535400,535400,535400
0802240051,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,741700,741700,741700
0802240052,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,732400,732400,732400
0802240053,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,507400,507400,507400
0802240054,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,481300,481300,481300
0802240055,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,521100,521100,521100
0802240056,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,565600,565600,565600
0802240057,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,491900,491900,491900
0802240058,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,543500,543500,543500
0802240059,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,568700,568700,568700
0802240060,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,652800,652800,652800
0802240062,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,572100,572100,572100
0802240063,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,704600,531600,704600
0802240064,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,757800,757800,757800
0802240065,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,571600,398600,571600
0802240066,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,562200,562200,562200
0802240067,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,548800,548800,548800
0802240068,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,548700,548700,548700
0802240069,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,585700,585700,585700
0802240070,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,634200,634200,634200
0802240071,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,611000,611000,611000
0802240072,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,680700,680700,680700
0802300001,TRS3,CHRISTINA SCHOOL DIST-TRES,8,F,768300,768300,1167800
0802300002,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,386100,386100,386100
0802300002R,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,0,0,0
0802300003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,F,696300,696300,891800
0802300010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,548200,548200,548200
0802300011,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,431300,431300,431300
0802300012,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,432400,432400,432400
0802300014,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,416900,416900,416900
0802300022,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,929900,929900,929900
0802300023,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,975600,975600,975600
0802300024,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,882700,882700,882700
0802300025,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1334000,1334000,1334000
0802300026,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,932500,932500,932500
0802300027,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,961200,961200,961200
0802310001,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,630600,630600,630600
0802310002,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,662600,662600,662600
0802310003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,575300,575300,575300
0802310004,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,717300,717300,717300
0802310005,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,561600,561600,561600
0802310006,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,566700,566700,566700
0802310007,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,712900,712900,712900
0802310008,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,642400,642400,642400
