PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0700200064,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1334700,1334700,1334700
0700200065,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1043400,1043400,1043400
0700200066,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1125400,1125400,1125400
0700200067,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1132500,1132500,1132500
0700200068,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,100,100,100
0700200069,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,100,100,100
0700200071,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,702000,702000,702000
0700200072,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,537400,537400,537400
0700200073,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1422600,1422600,1422600
0700300001,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,3811600,3811600,3811600
0700300002,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,2468900,2468900,3357000
0700300003,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,188000,188000,188000
0700300004,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,0,0,366900
0700400001,TRS2,RED CLAY SCHOOL DIST-TRES,7,ER,0,0,574600
0700400003,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,932600,932600,932600
0700500001,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2540100,2540100,2540100
0700500001R,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,0,0,0
0700500002,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2267900,2267900,2267900
0700500003,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1470600,1470600,1470600
0700500004,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,916500,916500,916500
0700500005,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1281200,1281200,1281200
0700500006,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1101400,1101400,1101400
0700500007,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,987400,987400,987400
0700500008,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,550100,550100,550100
0700500009,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,2058000,2058000,3065600
0700500010,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1590700,1590700,1590700
0700500011,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,2490700,2490700,3345200
0700500012,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2322500,2322500,2322500
0700500013,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,120000,120000,120000
0700500014,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,961500,961500,961500
0700500015,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,436300,436300,436300
0700500016,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,824000,824000,824000
0700500017,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2295300,2295300,2295300
0700500018,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,142900,142900,142900
0700500019,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,1532400,1532400,1817900
0700500020,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,14300,14300,14300
0700500021,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,652700,652700,1231800
0700500022,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1211900,1211900,1211900
