PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
1502000082,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,224300,224300,224300
1502000083,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,342300,342300,342300
1502000083M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,58400,58400,58400
1502000084,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,643000,643000,643000
1502000085,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,571300,571300,739300
1502000086,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,776000,776000,776000
1502000086M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,128300,128300,128300
1502000087,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,1108700,1108700,1108700
1502000088,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,635600,635600,803600
1502000089,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,0,0,376300
1502000090,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,417600,417600,806200
1502000090M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,0,0,0
1502000091,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,281700,281700,585700
1502000092,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,100,100,100
1502000093,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,511800,511800,511800
1502000094,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,539700,539700,539700
1502000095,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,605600,605600,605600
1502000096,TRS6,SMYRNA SCHOOL DIST-TRES,15,ER,0,0,5577500
1502000097,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,435900,435900,435900
1502000098,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,499500,499500,499500
1502000099,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,0,0,79800
1502000100,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,36300,36300,36300
1502000101,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,25300,25300,25300
1502000102,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,373900,373900,373900
1502000103,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,318900,318900,318900
1502000104,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,373500,373500,373500
1502000105,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,379900,379900,379900
1502000106,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,674300,674300,674300
1502000107,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,404100,404100,404100
1502000108,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,425100,252100,425100
1502000109,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,260800,260800,260800
1502000111,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,480000,480000,480000
1502000112,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,383000,383000,383000
1502000113,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,977900,977900,977900
1502000114,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,358800,358800,531800
1502000115,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,560100,560100,745200
1502000116,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,481900,481900,481900
1502000117,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,476700,476700,476700
1502000118,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,570600,570600,925200
1502000119,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,326600,326600,326600
1502000120,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,668500,668500,668500
1502000121,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,433700,433700,433700
1502000122,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,621900,621900,621900
1502000123,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,430000,430000,430000
1502000124,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,641200,641200,641200
1502000125,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,539900,539900,539900
1502000126,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,913400,913400,913400
1502000127,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,0,0,184000
1502000128,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,742000,742000,742000
1502000129,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,652700,652700,652700
1502000130,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,598400,598400,598400
1502000134,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,0,0,189400
1502000135,TRS6,SMYRNA SCHOOL DIST-TRES,15,ER,0,0,2557600
1502000136,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,408200,408200,1295100
1502000137,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,378000,378000,498000
1502100002,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,453400,453400,453400
1502100003,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,509600,509600,692800
1502100004,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,235100,235100,235100
1502100005,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,1673100,1673100,1673100
1502100006,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,398000,398000,398000
1502100007,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,172700,172700,345700
1502100008,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,288100,288100,2264900
1502100009,TRS6,SMYRNA SCHOOL DIST-TRES,15,ER,0,0,232200
1502100010,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,405900,405900,596900
1502100011,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,29900,29900,1189900
1502100012,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,356200,356200,1975400
1502100013,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,178700,178700,2992100
1502100014,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,582000,409000,3819900
1502100014M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,65400,65400,65400
1502100015,TRS6,SMYRNA SCHOOL DIST-TRES,15,ER,0,0,90827400
1502100016,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,617600,617600,4288100
1502100016M0002,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,51500,51500,51500
1502100017,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,441700,441700,1460500
1502100018,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,21000,21000,21000
1502100019,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,1178000,1178000,1178000
1502100020,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,732300,732300,732300
1502100021,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,286000,286000,286000
1502100022,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,484900,484900,484900
1502100023,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,365900,365900,365900
1502100024,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,356800,356800,1119100
1502100025,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,625000,625000,625000
1502100026,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,405500,232500,405500
1502100027,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,22100,22100,22100
1502100028,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,624900,624900,624900
1502100029,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,750600,750600,750600
1502100031,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,151200,151200,324200
1502100032,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,297000,297000,297000
1502100033,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,357800,357800,357800
1502100034,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,29000,29000,29000
1502100035,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,475300,475300,475300
1502100036,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,384400,384400,384400
1502100037,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,405100,405100,405100
1502100038,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,367500,367500,367500
1502100039,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,973600,973600,973600
1502100039M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,69100,69100,69100
1502100039M0002,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,7800,7800,7800
1502100040,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,752600,752600,752600
1502100041,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,573900,573900,573900
1502100042,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,524100,524100,524100
1502100043,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,418500,418500,418500
1502100044,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,426000,253000,426000
1502100045,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,292400,292400,292400
1502100046,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,655600,655600,655600
1502100047,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,531000,531000,691800
1502100049,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,458000,458000,458000
1502100050,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,470700,470700,470700
1502100051,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,705500,705500,705500
1502100052,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,294500,294500,467500
1502100052M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,0,0,0
1502100052M0002,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,0,0,0
1502100053,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,508900,508900,508900
1502100054,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,557700,557700,557700
1502100055,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,32600,32600,32600
1502100057,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,509900,509900,509900
1502100058,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,369000,369000,369000
1502100059,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,550800,550800,550800
1502100060,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,76200,76200,76200
1502100061,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,473200,473200,473200
1502100062,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,515000,515000,515000
1502100063,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,7300,7300,7300
1502100064,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,472200,472200,472200
1502100065,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,700100,700100,700100
1502100065M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,62400,62400,62400
1502100066,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,509500,509500,509500
1502100067,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,469400,469400,469400
1502100068,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,584800,584800,584800
1502100069,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,369000,369000,369000
1502100070,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,484600,484600,657600
1502100071,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,531800,531800,531800
1502100072,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,340100,340100,340100
1502100073,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,303700,303700,303700
1502100074,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,430000,430000,430000
1502100075,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,530000,530000,530000
1502100076,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,371500,371500,371500
1502100077,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,87400,87400,87400
1502100078,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,355800,355800,355800
1502100079,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,573400,573400,573400
1502100080,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,391100,391100,391100
1502100081,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,325900,325900,325900
1502100082,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,206200,206200,379200
1502100083,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,409400,409400,409400
1502100084,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,448100,448100,448100
1502100085,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,486200,486200,486200
1502100086,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,447200,447200,447200
1502100087,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,489500,489500,489500
1502100088,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,292300,292300,292300
1502100089,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,270500,270500,270500
1502100090,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,323500,323500,323500
1502100091,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,514000,514000,514000
1502100092,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,304700,304700,304700
1502100093,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,380700,380700,380700
1502100094,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,408100,408100,408100
1502100095,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,358000,185000,358000
1502100096,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,786700,786700,1260000
1502100097,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,666100,666100,666100
1502100098,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,586300,586300,1058300
1502100099,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,709900,709900,709900
1502100100,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,534800,534800,534800
1502100101,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,738100,738100,738100
1502100102,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,684200,684200,684200
1502100103,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,731100,731100,731100
1502100104,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,8700,8700,8700
